名称,日期
"
		[最新电影]
		2018年动作战争《中国蓝盔》HD国语中英双字
	",日期：2019-01-29 00:56:41 
"
		[最新电影]
		2018年动作喜剧《大师兄》BD国粤双语中字
	",日期：2019-01-26 11:22:08 
"
		[综合电影]
		2018年剧情悬疑《淡蓝琥珀》HD国语中字
	",日期：2018-12-29 21:03:34 
"
		[综合电影]
		2018年动作《失控之枪林弹雨》HD国语中字
	",日期：2018-12-29 21:01:12 
"
		[综合电影]
		2018年奇幻动作《大明平妖传》HD国语中字
	",日期：2018-12-09 20:44:55 
"
		[综合电影]
		2018年剧情《一条叫招财的鱼》HD国语中字
	",日期：2018-12-09 15:39:47 
"
		[最新电影]
		2018年剧情爱情《你好，之华》HD国语中字
	",日期：2018-12-09 15:37:20 
"
		[综合电影]
		2018年动作《东陵盗宝之徐公馆诡事》HD国语中字
	",日期：2018-12-09 15:34:35 
"
		[最新电影]
		2018年高分获奖剧情《阿拉姜色》HD国语中字
	",日期：2018-12-07 01:24:00 
"
		[最新电影]
		2018年动画《昨日青空》HD国语中字
	",日期：2018-12-06 20:50:21 
"
		[最新电影]
		2018年动作喜剧《胖子行动队》HD国语中英双字
	",日期：2018-12-06 20:48:16 
"
		[最新电影]
		2018年剧情《找到你/谜踪》HD国语中字
	",日期：2018-12-06 18:46:08 
"
		[最新电影]
		2018年动作《影/荆州保卫战》HD国语中英双字
	",日期：2018-12-01 22:30:24 
"
		[最新电影]
		2018年动作《功夫联盟》HD国粤双语中字
	",日期：2018-11-29 22:49:14 
"
		[综合电影]
		2018年喜剧《棒打鸳鸯》BD中英双字幕
	",日期：2018-11-28 00:57:39 
"
		[最新电影]
		2018年剧情励志《兄弟班》BD国粤双语中字
	",日期：2018-11-27 22:55:38 
"
		[综合电影]
		2018年动作《狄仁杰之无头神将》HD国语中字
	",日期：2018-11-27 20:59:05 
"
		[综合电影]
		2018年悬疑《新七侠五义之屠龙案》HD国语中字
	",日期：2018-11-26 20:49:40 
"
		[综合电影]
		2018年科幻悬疑《天才J之谜题里的倒计时》HD国语中字
	",日期：2018-11-26 21:47:37 
"
		[综合电影]
		2018年科幻悬疑《天才J之第二个J》HD国语中字
	",日期：2018-11-26 22:34:45 
"
		[最新电影]
		2018年高分获奖剧情《大象席地而坐》HD国语中字
	",日期：2018-11-25 00:36:05 
"
		[综合电影]
		2018年奇幻爱情喜剧《时空同居》BD国语中字
	",日期：2018-11-25 00:27:57 
"
		[最新电影]
		2018年黄渤舒淇王宝强喜剧《一出好戏》BD国语中字
	",日期：2018-11-24 16:12:12 
"
		[最新电影]
		2018年姜文彭于晏动作《邪不压正》HD国语中字
	",日期：2018-11-23 21:37:47 
"
		[最新电影]
		2018年动作《反贪风暴3》BD国粤双语中字
	",日期：2018-11-22 23:29:27 
"
		[最新电影]
		2018年获奖动画《幸福路上》BD国语中字
	",日期：2018-11-22 18:53:27 
"
		[综合电影]
		2018年爱情喜剧《脱单告急》HD国语中字
	",日期：2018-11-22 00:00:07 
"
		[综合电影]
		2018年动作《四大名捕之入梦妖灵》HD国语中字
	",日期：2018-11-19 20:44:51 
"
		[综合电影]
		2018年动作《千门女王之黄雀在后》HD国语中字
	",日期：2018-11-19 00:26:03 
"
		[最新电影]
		2018年纪录片《张艺谋和他的“影”》HD国语中字
	",日期：2018-11-19 00:23:36 
"
		[综合电影]
		2018年剧情爱情《过往的梦》HD国语中英双字
	",日期：2018-11-16 00:11:41 
"
		[综合电影]
		2018年武侠动作《盖世英雄》HD国语中字
	",日期：2018-11-14 14:16:02 
"
		[综合电影]
		2018年悬疑动作《狄仁杰之西域妖姬》HD国语中字
	",日期：2018-11-14 14:14:48 
"
		[综合电影]
		2018年奇幻《封神降魔》HD国语中字
	",日期：2018-11-14 13:00:21 
"
		[综合电影]
		2018年爱情喜剧《有一种喜欢》HD国语中字
	",日期：2018-10-22 10:40:26 
"
		[综合电影]
		2018年奇幻剧情《画皮师2》HD国语中字
	",日期：2018-10-21 18:19:07 
"
		[最新电影]
		2018年悬疑动作《狄仁杰之四大天王》BD国语中字
	",日期：2018-10-20 18:59:00 
"
		[综合电影]
		2018年剧情传记《李宗伟：败者为王》HD中字
	",日期：2018-10-19 09:49:44 
"
		[最新电影]
		2018年奇幻动作《古剑奇谭之流月昭明》HD国语中英双字
	",日期：2018-10-18 16:22:26 
"
		[综合电影]
		2018年剧情《爆裂说唱》HD国语中字
	",日期：2018-10-16 11:17:43 
"
		[综合电影]
		2014年喜剧《江湖论贱实录》HD国语中英双字
	",日期：2018-10-15 22:40:48 
"
		[最新电影]
		2018年获奖剧情《未择之路》HD国语中英双字
	",日期：2018-10-15 22:38:44 
"
		[最新电影]
		2018年动作《蜀山降魔传》BD国粤双语中字
	",日期：2018-10-15 12:17:52 
"
		[综合电影]
		2018年喜剧《让我怎么相信你》HD国语中字
	",日期：2018-10-11 11:06:45 
"
		[综合电影]
		2018年科幻悬疑《怪兽》HD国语中英双字
	",日期：2018-10-11 11:00:16 
"
		[最新电影]
		2018年剧情爱情《江湖儿女》HD国语中字
	",日期：2018-10-08 22:12:28 
"
		[最新电影]
		2018年惊悚恐怖《吉屋》BD国粤双语中字
	",日期：2018-10-08 12:40:19 
"
		[综合电影]
		2018年冒险动作《丛林敢死队》HD国语中字
	",日期：2018-10-07 12:38:49 
"
		[综合电影]
		2018年剧情动作《广东十虎铁桥三》HD国语中字
	",日期：2018-10-07 12:36:50 
"
		[综合电影]
		2018年悬疑《惊慌失色之诡寓》HD国语中英双字
	",日期：2018-09-26 11:16:22 
"
		[最新电影]
		2018年动画喜剧《深海历险记》HD国语中字
	",日期：2018-09-25 18:57:35 
"
		[综合电影]
		2018年动作冒险《夺宝同盟之神秘笔记》HD国语中字
	",日期：2018-09-25 18:54:59 
"
		[综合电影]
		2018年惊悚恐怖《山村古宅》HD国语中字
	",日期：2018-09-25 18:21:43 
"
		[综合电影]
		2018年剧情爱情《萌宠入殓师》HD国语中字
	",日期：2018-09-24 17:43:50 
"
		[最新电影]
		2018年动作《黄飞鸿之南北英雄》BD国粤双语中字
	",日期：2018-08-04 16:45:43 
"
		[综合电影]
		2018年悬疑《迷失地铁》HD国语中字
	",日期：2018-07-01 00:59:35 
"
		[综合电影]
		2018年获奖剧情《黄金花》HD粤语中字
	",日期：2018-07-01 00:57:46 
"
		[综合电影]
		2018年奇幻悬疑《宝塔镇河妖之诡墓龙棺》HD国语中字
	",日期：2018-06-19 00:18:36 
"
		[综合电影]
		2018年动作《低压槽：欲望之城》HD国语中字
	",日期：2018-06-14 23:51:42 
"
		[综合电影]
		2018年剧情喜剧《我是你妈》HD国语中字
	",日期：2018-06-14 20:06:19 
"
		[综合电影]
		2018年高分获奖剧情《米花之味》HD国语中英双字
	",日期：2018-06-13 20:04:23 
"
		[综合电影]
		2018年动作《霍家拳之威震山河》HD国语中字
	",日期：2018-06-12 23:38:45 
"
		[综合电影]
		2018年喜剧《陈翔六点半之铁头无敌》HD国语中字
	",日期：2018-06-12 23:30:34 
"
		[综合电影]
		2018年剧情爱情《一纸婚约》HD国语中字
	",日期：2018-06-11 16:02:48 
"
		[最新电影]
		2018年动画《冰雪女王3：火与冰》HD国英双语中字
	",日期：2018-06-11 10:57:36 
